Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Total_Points
7,26,jayzus01,Jayan,---,0.0,---,0.0,KKR,1.0,---,0.0,CSK,0.0,---,0.0,1.0
7,26,light083969,Light,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,1.0
7,26,rishavmaiti,rishavmaiti,SRH,0.0,CSK,0.0,---,0.0,---,0.0,RCB,1.0,MI,0.0,1.0
7,26,shieldofachielles,shield of Achielles,---,0.0,CSK,0.0,---,0.0,---,0.0,CSK,0.0,GT,1.0,1.0
7,26,singh84,Singh,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,1.0
7,26,the_mizer,DrVimp,SRH,0.0,CSK,0.0,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,1.0
8,42,.selmonbhai,Tanjiro kamado,---,0.0,---,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,0.0
8,42,aakashmangla,Babu Bhaiya,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,astrobot_7,PS_USER,---,0.0,---,0.0,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
8,42,d3vilbring3r,d3vilbring3r,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,dag_21,daggr,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,0.0
8,42,elprofesor6338,Èl Profesor™,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,0.0
8,42,emptycases,J,---,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,0.0,0.0
8,42,gamerpradosh,Gamer Pradosh,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,jubilant_chipmunk_76062,,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,mrj619,MrJ619,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,nftprofessor,NFTProfessor,---,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
8,42,reflekt_11,Reflekt,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
8,42,riq9634,Riq,---,0.0,---,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,0.0
8,42,rithick_devaraj,rithick_devaraj,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,sauzz,Sauzz,---,0.0,---,0.0,---,0.0,SRH,0.0,---,0.0,---,0.0,0.0
8,42,sriprakash,Sri Prakash,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
