Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Total_Points
5,11,crazybats_v,Casper,GT,1.0,LSG,0.0,SRH,0.0,RCB,3.0,SRH,1.0,KKR,0.0,MI,2.0,DC,0.0,7.0
5,11,gamerpradosh,Gamer Pradosh,,,DC,1.0,MI,1.0,RCB,3.0,---,0.0,---,0.0,MI,2.0,---,0.0,7.0
5,11,khanatfarm,KHANatFARM,KKR,0.0,DC,1.0,MI,1.0,RCB,3.0,CSK,0.0,KKR,0.0,MI,2.0,DC,0.0,7.0
5,11,light_itachi_op,Lassi Sassy,GT,1.0,---,0.0,MI,1.0,RCB,3.0,CSK,0.0,KKR,0.0,MI,2.0,DC,0.0,7.0
5,11,thefarzi,Farzi,GT,1.0,DC,1.0,SRH,0.0,RCB,3.0,CSK,0.0,PBKS,0.0,LSG,0.0,RCB,2.0,7.0
6,17,gladiator30,Gladiator,GT,1.0,DC,1.0,MI,1.0,RCB,3.0,CSK,0.0,KKR,0.0,LSG,0.0,DC,0.0,6.0
6,17,lelouch1806,lelouch,,,,,,,RCB,3.0,SRH,1.0,---,0.0,---,0.0,RCB,2.0,6.0
7,19,deadshot06.,,,,,,,,RCB,3.0,---,0.0,---,0.0,---,0.0,RCB,2.0,5.0
7,19,jubilant_chipmunk_76062,,GT,1.0,DC,1.0,---,0.0,RCB,3.0,CSK,0.0,---,0.0,---,0.0,---,0.0,5.0
7,19,kakashi019805,Kakashi,,,LSG,0.0,---,0.0,RCB,3.0,---,0.0,PBKS,0.0,MI,2.0,DC,0.0,5.0
7,19,rishavmaiti,rishavmaiti,KKR,0.0,DC,1.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,---,0.0,DC,0.0,5.0
7,19,sriprakash,Sri Prakash,GT,1.0,LSG,0.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,---,0.0,DC,0.0,5.0
7,19,static_25,Static,GT,1.0,DC,1.0,MI,1.0,RR,0.0,CSK,0.0,KKR,0.0,MI,2.0,DC,0.0,5.0
8,25,elprofesor6338,Èl Profesor™,GT,1.0,LSG,0.0,MI,1.0,---,0.0,CSK,0.0,PBKS,0.0,LSG,0.0,RCB,2.0,4.0
8,25,gooffyluffyy,Luffy,GT,1.0,LSG,0.0,MI,1.0,RR,0.0,CSK,0.0,PBKS,0.0,MI,2.0,DC,0.0,4.0
8,25,max._.caulfield,Max,KKR,0.0,DC,1.0,MI,1.0,RR,0.0,CSK,0.0,KKR,0.0,MI,2.0,DC,0.0,4.0
8,25,the_mizer,DrVimp,KKR,0.0,LSG,0.0,SRH,0.0,RCB,3.0,SRH,1.0,PBKS,0.0,LSG,0.0,DC,0.0,4.0
8,25,thewebshooter,TheWebShooter,GT,1.0,---,0.0,MI,1.0,RR,0.0,CSK,0.0,---,0.0,MI,2.0,DC,0.0,4.0
9,30,.agentvic,agentVic,,,,,,,RCB,3.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
9,30,_simplet0n,ZePHyR,,,,,,,RCB,3.0,---,0.0,KKR,0.0,---,0.0,---,0.0,3.0
9,30,abhishek2311_2,Abhishek_5518,,,,,,,RCB,3.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
9,30,csharp21,CSharp,GT,1.0,DC,1.0,SRH,0.0,RR,0.0,SRH,1.0,PBKS,0.0,LSG,0.0,DC,0.0,3.0
9,30,fazilbashasn,FAZILBASHASN,,,,,,,RCB,3.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
9,30,jerry0_o,Jerry0_0,,,,,,,RCB,3.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
9,30,pkmkb6011,Sunny Paaji,,,,,,,RCB,3.0,---,0.0,---,0.0,LSG,0.0,---,0.0,3.0
9,30,psycvb,Sukuna (両面),,,,,,,RCB,3.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
9,30,vahgar,Allen The Alien,KKR,0.0,DC,1.0,SRH,0.0,RR,0.0,---,0.0,PBKS,0.0,LSG,0.0,RCB,2.0,3.0
9,30,weezyf.baby_,WEEZY F. Baby,KKR,0.0,---,0.0,MI,1.0,---,0.0,---,0.0,---,0.0,MI,2.0,DC,0.0,3.0
10,40,1nv1nc1b1e18,Him.,,,,,,,,,,,,,LSG,0.0,RCB,2.0,2.0
10,40,astrobot_7,PS_USER,GT,1.0,LSG,0.0,MI,1.0,RR,0.0,CSK,0.0,PBKS,0.0,LSG,0.0,DC,0.0,2.0
10,40,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,KKR,0.0,LSG,0.0,SRH,0.0,RR,0.0,CSK,0.0,KKR,0.0,LSG,0.0,RCB,2.0,2.0
10,40,dag_21,daggr,KKR,0.0,---,0.0,SRH,0.0,RR,0.0,CSK,0.0,PBKS,0.0,MI,2.0,DC,0.0,2.0
10,40,hungry_wolf,HungrY_WolF,GT,1.0,LSG,0.0,SRH,0.0,RR,0.0,SRH,1.0,KKR,0.0,LSG,0.0,DC,0.0,2.0
10,40,roarycat,RoaryCat,GT,1.0,LSG,0.0,SRH,0.0,RR,0.0,SRH,1.0,PBKS,0.0,LSG,0.0,DC,0.0,2.0
11,46,bundbaaz,sk,,,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,46,gane_sh,Gane_sh,,,DC,1.0,---,0.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,1.0
11,46,ind_mafia_sahil,IND_Mafia_Sahil,,,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,46,killingintent,Killing Intent,,,,,SRH,0.0,---,0.0,SRH,1.0,---,0.0,---,0.0,---,0.0,1.0
12,50,abhilashsp,Abhilash SP,,,,,,,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
12,50,ashutoshudairaaj1894,Ashutosh udai raaj,,,,,,,,,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
12,50,cdgamers14,cdgamers😎,KKR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,KKR,0.0,---,0.0,---,0.0,0.0
12,50,galaxy201294,Galaxy.,,,,,,,,,,,KKR,0.0,---,0.0,---,0.0,0.0
12,50,iamzeus,iAmZeus,KKR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
12,50,k1ngtrailblazer,tra1lblazerg0d,,,,,,,,,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
12,50,oracle_priest,oracle_priest,,,,,,,,,,,,,,,DC,0.0,0.0
12,50,prathz1109,Prathzz,,,,,,,,,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
12,50,shadow0403bsr,shadow43,,,,,,,,,,,PBKS,0.0,---,0.0,---,0.0,0.0
